"# of Use","# of Use"
"%1$s incl tax.","%1$s bao gồm thuế."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"%s and above","%s and above"
"An error occurred while clearing comparison list.","Một lỗi đã xuất hiện khi xóa comparison list."
"An error occurred while deleting this review.","Một lỗi đã xuất hiện khi xóa review này."
"An error occurred while removing products from websites.","Một lỗi đã xuất hiện khi gỡ bỏ sản phẩm từ webistes."
"An error occurred while saving the URL rewrite","Một lỗi đã xuất hiện khi lưu URL rewrite"
"An error occurred while saving the attribute set.","Một lỗi đã xuất hiện khi lưu một tập thuộc tính."
"An error occurred while saving the collection, aborting. Error message: %s","Một lỗi xuất hiện khi lưu collection,huỷ bỏ. Thông điệp lỗi: %s"
"An error occurred while saving the product. ","Một lỗi đã xuất hiện khi lưu sản phẩm. "
"An error occurred while saving the search query.","Một lỗi đã xuất hiện khi lưu câu truy vấn tìm kiếm."
"An error occurred while saving this group.","Một lỗi đã xuất hiện khi lưu nhóm này."
"An error occurred while saving this review.","Một lỗi đã xuất hiện khi lưu review này."
"An error occurred while trying to delete the category.","Một lỗi đã xuất hiện khi cố gắng xóa danh mục."
"An error occurred while updating the product(s) attributes.","Một lỗi đã xuất hiện khi cập nhật thuộc tính sản phẩm."
"An error occurred while updating the product(s) status.","Một lỗi đã xuất hiện khi cập nhật trạng thái sản phẩm."
"An invalid group ID is specified, skipping the record.","Nhóm ID sai được xác định, giữ mẫu tin."
"An invalid option ID is specified for %s (%s), skipping the record.","Tùy chọn ID sai được xác định %s (%s), giữ mẫu tin."
"An invalid store was specified.","Một store sai được xác định."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Apply MAP (Default Value)"
"Apply To","Áp dụng cho"
"Approved","Chứng thực"
"Are you sure you want to delete this category?","Bạn có chắc là bạn muốn xóa danh mục này?"
"Are you sure you would like to remove all products from your comparison?","Bạn có chắc là bạn muốn gỡ bỏ tất cả sản phẩm từ comparison?"
"Are you sure you would like to remove this item from the compare products?","Bạn có chắc là bạn muốn gỡ bỏ item này từ sản phẩm compare?"
"Are you sure?","Bạn có chắc không?"
"As low as:","As low as:"
"Assign","Gán"
"Assign product link","Gán liên kết sản phẩm"
"Assign product to category","Gán sản phẩm cho danh mục"
"Assigned Products","Gán sản phẩm"
"Associated Products","Sản phẩm kết hợp"
"Attrib. Set Name","Tên tập thụôc tính"
"Attribute ""%s"" is invalid.","Thuộc tính ""%s"" sai."
"Attribute ""%s"" is required.","Thuộc tính ""%s"" được yêu cầu."
"Attribute Information","Thông tin thuộc tính"
"Attribute Model","Thuộc tính Model"
"Attribute Name:","Tên thuộc tính:"
"Attribute Set","Tập thuộc tính"
"Attribute Sets","Tập thuộc tính"
"Attribute add","Thêm thuộc tính"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Thuộc tính code sai. Xin vui lòng chỉ nhập ký tự từ (a-z), số (0-9) or dấu gạch dưới(_) trong trường này, Ký tự đầu tiên nên là ký tự chữ."
"Attribute group with the \"/name/\" name already exists","Nhóm thuộc tính với tên \"/tên/\" đã tồn tại"
"Attribute remove","Gỡ bỏ thuộc tính"
"Attribute with the same code already exists","Thuộc tính với cùng code đã tồn tại"
"Attributes","Thuộc tính"
"Attrribute names can be specified per store.","Tên thuộc tính cần phải được xác định mỗi store."
"Autogenerate","Tự động tạo ra"
"Availability:","sẳn sàng:"
"Back","Trở lại"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Backorders","Backorders"
"Based On","Based On"
"Before Order Confirmation","Trước khi xác nhận việc đặt đặt hàng"
"Best Value","Giá trị tốt nhất"
"Block after Info Column","Block after Info Column"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Bottom/Left"
"Bottom/Right","Bottom/Right"
"Browse By","Tìm bởi"
"Bundle Items","Bundle Items"
"Buy %1$s","Mua %1$s"
"Buy %1$s for","Mua %1$s cho"
"Buy %1$s for %2$s","Mua %1$s cho %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mua %1$s cho %2$s (%3$s trừ thuế) mỗi sản phẩm"
"Buy %1$s for %2$s each","Mua %1$s cho %2$s mỗi sản phẩm"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"Cache refresh needed.","Cần phải refresh bộ nhớ cache."
"Can be Divided into Multiple Boxes for Shipping","Có thể chia thành nhiều box khác nhau để vận chuyển"
"Can be used only with catalog input type Dropdown","Có thể chỉ dùng catalog với lọai dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Có thể chỉ dùng catalog với lọai dropdown, Multiple Select và giá"
"Can\'t create image.","Không thể tạo hình ảnh."
"Cancel","Hủy bỏ"
"Cannot create image.","Không thể tạo hình ảnh."
"Cannot create writeable directory '%s'.","Không thể tạo ra thư mục '%s' writeable."
"Cart Item Attribute","Thuộc tính giỏ hàng"
"Catalog","Mục"
"Catalog Category (Anchor)","Mục danh mục (Anchor)"
"Catalog Category (Non-Anchor)","Mục danh mục (Non-Anchor)"
"Catalog Category (Without Subcategories)","Mục danh mục (Không có danh mục con)"
"Catalog Category Link","Mục Kêt nối danh mục"
"Catalog New Products List","Mục danh sách sản phẩm mới"
"Catalog Price Scope","Mục phạm vi giá "
"Catalog Product Compare List","Mục danh sách sản phẩm compare"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Mục kết nối sản phẩm"
"Catalog Product View (Any)","Mục Hiển thị sản phẩm (Any)"
"Catalog Product View (Configurable)","Mục Hiển thị sản phẩm (Configurable)"
"Catalog Product View (Grouped)","Mục Hiển thị sản phẩm(Grouped)"
"Catalog Product View (Simple)","Mục Hiển thị sản phẩm(Simple)"
"Catalog Product View (Virtual)","Mục Hiển thị sản phẩm (Virtual)"
"Catalog Section","Mục Catalog"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Catalog Seo Sitemap (Product List)"
"Catalog URL Rewrites","Catalog URL Rewrites"
"Catalog product custom option values API","Giá trị API của sản phẩm Catalog "
"Catalog product custom options API","Tùy chọn API của sản phẩm Catalog "
"Catalog, Search","Catalog, Search"
"Categories","Danh mục"
"Categories Sitemap","Danh mục Sitemap"
"Category","Danh mục"
"Category API","Danh mục API"
"Category Data","Danh mục dữ liệu"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Danh mục liên kết tới Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","Danh mục sản phẩm"
"Category Top Navigation","Danh mục điều hướng"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Danh mục thuộc tính API"
"Category move error","Lỗi di chuyển danh mục"
"Category move operation is not possible: parent category is equal to child category.","Họat động di chuyển danh mục là không thể: Danh mục cha bằng với danh mục con."
"Category move operation is not possible: the current category was not found.","Họat động di chuyển danh mục là không thể: Không tìm thấy danh mục hiện tại."
"Category move operation is not possible: the new parent category was not found.","Hành động di chuyển danh mục là không thể: Không tìm thấy danh mục cha."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Center","Trung tâm"
"Change","thay đổi"
"Change or Retrieve attribute store view","Thay đổi hoặc lấy được thuộc tính store view"
"Change status","Thay đổi trạng thái"
"Check items to add to the cart or","Kiểm items để thêm vào gỉo hàng"
"Choose an Option...","Chọn một tùy chọn..."
"Clear All","Xóa tất cả"
"Clear Price","Xóa giá"
"Click for price","Click chọn giá"
"Close Window","Đóng Window"
"Collapse All","Tất cả bị xóa"
"Comma-separated.","phân cách bởi dấu phấy."
"Comparable","Comparable"
"Comparable on Front-end","Comparable on Front-end"
"Comparable on the Frontend","Comparable on the Frontend"
"Compare","Compare"
"Compare Products","Compare Products"
"Conditions Combination","Kết hợp điều kiện"
"Configurable Product","Sản phẩm cấu hình"
"Configurable Product Settings","Thiết lập sản phẩm cấu hình"
"Configure Product","Sản phẩm cấu hình"
"Continue","Tiếp tục"
"Copy From Configurable","Copy từ cấu hình"
"Country/State","Quốc gia/Nước"
"Create","Tạo ra"
"Create (Upload)","Tạo ra (tải lên)"
"Create Empty","Tạo trống"
"Create Permanent Redirect for URLs if URL Key Changed","Tạo ra chuyển hướng cho URL tuyệt đối nếu URL chính thay đổi"
"Create Permanent Redirect for old URL","Tạo ra chuyển hướng tuyệt đối cho URL củ"
"Create Product Settings","Tạo ra thiết lập sản phẩm"
"Create Simple Associated Product","Tạo ra sản phẩm kết hợp đơn giản"
"Create attribute set based on another set","Tạo ra tập thuộc tính dựa trên tập thuộc tính khác"
"Create new attribute","Tạo ra thuộc tính mới"
"Create new category","Tạo ra danh mục mới"
"Create new product","Tạo ra sản phẩm mới"
"Cross-sells","Sản phẩm đã bán"
"Currently Shopping by:","Currently Shopping by:"
"Custom Design","Custom Design"
"Custom Options","Custom Options"
"Custom options","Custom options"
"Customer Group","Nhóm khách hàng"
"Customers Reviews","Xem lại khách hàng"
"Customers Tagged Product","Customers Tagged Product"
"Data Type for Saving in Database","Lọai dữ liệu để lưu vào cơ sở dữ liệu"
"Date & Time Custom Options","Tùy chọn Ngày tháng và thời gian"
"Date Fields Order","Date Fields Order"
"Date Subscribed","Ngày đặt mua"
"Datetime","Ngày tháng"
"Decimal","Thập phân"
"Declare attribute value saving scope","Khai báo phạm vi lưu giá trị thuộc tính"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Tên thông điệp Popup mặc định"
"Default Price","Giá mặc định"
"Default Price Navigation Step","Bướt điều hướng giá mặc đinh"
"Default Qty","Số lượng mặc định"
"Default Values","Giá trị mặc định"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Xóa"
"Delete Attribute","Xóa thuộc tính"
"Delete Attribute Set","Xóa tập thuộc tính"
"Delete Category","Xóa danh mục"
"Delete Group Price","Xóa nhóm giá"
"Delete Option","Xóa tùy chọn"
"Delete Row","Xóa dòng"
"Delete Search","Xóa tìm kiếm"
"Delete Selected Group","Xóa nhóm được chọn"
"Delete Tier","Xóa Tier"
"Delete attribute","Xóa thụôc tính"
"Delete category","Xóa danh mục"
"Delete product","Xóa sản phẩm"
"Depends on design theme","Tùy thuộc vào thiết kế theme"
"Design","Thiết kế"
"Details","Chi tiết"
"Disabled","Vô hiệu"
"Disallowed file type.","Không cho phép lọai file."
"Display Actual Price","Hiển thị giá thực"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","Đếm số sản phẩm hiển thị"
"Display in Suggested Terms","Hiển thị trong giới hạn được đề nghị"
"Double click on a group to rename it","Double click vào nhóm để đổi tên nó"
"Double click on above image to view full picture","Double click vào hình ảnh phía trên để hiển thị tòan bộ ảnh"
"Downloadable Information","Thông tin sản phẩm Downloadable"
"Duplicate","nhân đôi"
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","Edit"
"Edit Attribute Set '%s'","Sửa thiết lập thuộc tính '%s'"
"Edit Product Attribute","Sửa thuộc tính sản phẩm"
"Edit Product Attribute ""%s""","Sửa thuộc tính sản phẩm ""%s"""
"Edit Search","Sửa tìm kiếm"
"Edit Search '%s'","Sửa tìm kiếm '%s'"
"Edit Set Name","Sửa tên"
"Email","Email"
"Email to a Friend","Email tới bạn"
"Empty","Trống"
"Enable MAP","Cho phép MAP"
"Enable Qty Increments","Cho phép Tăng số lượng"
"Enable WYSIWYG","Cho phép WYSIWYG"
"Enabled","Được phép"
"Error during retrieval of option value: %s","Lỗi khi lấy giá trị tùy chọn: %s"
"Exclude","Không bao gồm"
"Expand All","Mở rộng tất cả"
"Failed","Thất bại"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Thât bại khi copy file %s. Xin vui lòng, Xóa media mà không tồn tại ảnh và thử lại."
"Failed to move file: %s","Thât bại khi di duyển file: %s"
"Feature Products","Đặc tính sản phẩm"
"Field is not complete","Trường này chưa hòan thành"
"File options format is not valid.","Định dạng tùy chọn file không đúng."
"File upload failed","Tải file thất bại"
"Filter model name must be declared.","Tên Filter model phải được khai báo."
"Filter must be an object. Please set correct filter.","Filter phải là một đối tượng. Xin vui lòng chọn đúng filter."
"Filterable (no results)","Filterable (không có kết quả)"
"Filterable (with results)","Filterable (với kết quả)"
"First Name","Tên"
"Fixed","Cố định"
"For internal use.","Chỉ dùng bên trong."
"For the last time placed.","For the last time placed."
"Frontend","Frontend"
"Frontend Model","Frontend Model"
"Frontend Properties","Thuộc tính Frontend"
"Gallery","Khung hình"
"General Information","Tòan bộ thông tin"
"Get full information about attribute with list of options","Lấy tất cả thông tin về thuộc tính với tất cả tùy chọn"
"Get full information about custom option in product","Lấy tất cả thông tin về tùy chọn sản phẩm"
"Get list of available custom option types","Lấy tất cả lọai tùy chọn có sẳn"
"Get list of non-default attributes by product type and attributes set","Lấy tất cả các thuộc tính không mặc định bởi lọai sản phẩm và tập thuộc tính"
"Get list of possible attribute types","Lấy tất cả lọai thuộc tính"
"Get special price","Lấy giá đặc biệt"
"Global","Tòan cục"
"Globally Editable","Globally Editable"
"Go to Home Page","Đi đến trang Home"
"Grid","Grid"
"Group add","Thêm nhóm"
"Group remove","Gỡ bỏ nhóm"
"Grouped Product","Sản phẩm được nhóm"
"Groups","Nhóm"
"Home","Home"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Nếu trống, tên danh mục sẽ được dùng"
"If empty, the Product Name will be used","Nếu trống, tên sản phẩm sẽ được dùng"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Nếu bạn không xác định giá trị tùy chọn cho một store view cụ thể khi đó giá trị Admin mặc định sẽ được dùng."
"Image","Hình ảnh"
"Image content is not valid base64 data.","Nội dung hình ảnh không đúng lọai base64."
"Image does not exist.","Hình ảnh không tồn tại"
"Image file was not found.","Không tìm thấy file hình ảnh"
"Image type and information need to be specified for each store view.","Lọai hình ảnh và thông tin cần được xác định cho mỗi store view."
"In Cart","Trong giỏ hàng"
"In Stock","Còn hàng"
"In stock","Còn hàng"
"Incl. Tax","Bao gồm thuế"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index product prices"
"Indexed category/products association","Indexed category/products association"
"Info","Info"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Input Type"
"Integer","Integer"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Thuộc tính %s" sai"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Xác định tùy chọn thuộc tính sai cho thuộc tính %s (%s), Giữ mẫu tin."
"Invalid attribute set specified, skipping the record.","Tập thuộc tính sai được xác định , giữ mẫu tin."
"Invalid block: %s.","block: %s sai."
"Invalid category IDs.","Danh mục IDs sai."
"Invalid category.","Sai danh mục."
"Invalid image file type.","Sai lọai file hình ảnh."
"Invalid image type.","Sai lọai hình ảnh."
"Invalid option ID specified for %s (%s), skipping the record.","Tùy chọn ID sai được xác định %s (%s), Giữ mẫu tin."
"Invalid product type specified, skipping the record.","Lọai sản phẩm sai được xác định, giữ mẫu tin."
"Invalid store specified","Store sai được xác định"
"Invalid store specified, skipping the record.","Store sai được xác định, giữ mẫu tin."
"Invalid tier prices. The product is not associated to the requested website.","Sai tier prices. Sản phẩm không kết hợp tới yêu cầu của website."
"Inventory","Hàng tồn kho"
"Is Default","Mặc định"
"Is Required","Được yêu cầu"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items mà bạn không muốn hiển thị trong kết quả tìm kiếm và catalog nên có trạng thái 'Disabled' trong store mong muốn."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items mà bạn không muốn hiển thị trong kết quả tìm kiếm và catalog nên có trạng thái 'Disabled' trong store mong muốn."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Nhãn"
"Last Name","Họ"
"Last Notification","Thông báo cuối cùng"
"Layered Navigation","Layered Navigation"
"Learn More","Learn More"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Liên kết (Related, Up sell, Cross sell)"
"Link product does not exist.","Sản phẩm kết nối không tồn tại."
"Link to a Specified Category","Kết nối đến một danh mục xác định"
"Link to a Specified Product","Kết nối đến một sản phẩm xác định"
"List","Liệt kê"
"List Mode","Trạng thái liệt kê"
"List of Products that are set as New","Liệt kê sản phẩm mà có thiết lập là New"
"List of types","Liệt kê lọai"
"Manage Attribute Sets","Quản lý tập thuộc tính"
"Manage Attributes","Quản lý thuộc tính"
"Manage Catalog Categories","Quản lý danh mục catalog"
"Manage Categories","Quản lý danh mục "
"Manage Label / Options","Quản lý nhản / tùy chọn"
"Manage Options (values of your attribute)","Quản lý tùy chọn (Giá trị của thuộc tính)"
"Manage Product Attributes","Quản lý thuộc tính sản phẩm"
"Manage Product Sets","Quản lý tập sản phẩm"
"Manage Products","Quản lý sản phẩm"
"Manage Stock","Quản lý hàng hóa"
"Manage Titles (Size, Color, etc.)","Quản lý tiêu đề (kích cỡ, màu, etc.)"
"Max Characters","Ký tự lớn nhất"
"Maximal Depth","Độ sậu nhất"
"Maximum Image Size","Kích cỡ hình ảnh lớn nhất"
"Maximum Number of Price Intervals","Số giá lớn nhất bên trong"
"Maximum Qty Allowed in Shopping Cart","Số lượng lớn nhất được phép trong giỏ hàng"
"Maximum allowed image size for '%s' is %sx%s px.","Kích cỡ hình ảnh được phép lớn nhất '%s' là %sx%s px."
"Maximum image height","Độ cao hình ảnh lớn nhất"
"Maximum image width","Độ rộng hình ảnh lớn nhất"
"Maximum number of characters:","Số ký tự tối đa:"
"Maximum number of price intervals is 100","Số giá cao nhất bên trong là 100"
"Media Image","Hình ảnh Media"
"Minimum Advertised Price","Giá tối thiểu được quảng cáo"
"Minimum Lines per Page","Dòng tối thiểu cho mỗi trang"
"Minimum Qty Allowed in Shopping Cart","Số lượng nhỏ nhất được phép trong giỏ hàng"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record.","Thiếu SKU, giữ mẫu tin."
"More Views","hiển thị thêm"
"Move","Di chuyển"
"Move category in tree","Di chuyển danh mục dạng cây"
"Must be in the allowed values list.","Phải nằm trong giá trị liệt kê cho phép."
"N/A","N/A"
"Name","Tên"
"Name in %s","Tên nằm trong %s"
"New Product","Sản phẩm mới"
"New Product Attribute","Thuộc tính sản phẩm mới"
"New Products","Sản phẩm mới"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Root Category","Danh mục gốc mới"
"New Search","Tìm kiếm mới"
"New Set Name","Tên mới"
"New Subcategory","Danh mục con mới"
"Next","Kế tiếp"
"No","Không"
"No image","Không hình ảnh"
"No layout updates","Không cập nhật layout"
"No options of this product are available.","Không có tùy chọn cho sản phẩm này."
"No product collections found.","No product collections found."
"None","không có"
"Not Visible Individually","Không hiển thị riêng rẻ"
"Notify Low Stock RSS","Thông báo stock RSS thấp"
"Notify for Quantity Below","Thông báo số lượng bên dưới"
"Number of Products to Display","Số sản phẩm hiển thị"
"Number of Uses","Số được dùng"
"Number of results","Số kết quả"
"Number of results (For the last time placed)","Số kết quả (Được lấy lần cuối cùng)"
"OK","OK"
"OR","Hoặc"
"Old Price:","Giá củ:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart.","Kiểm tra tùy chọn thất bại khi thêm sản phẩm vào gỉo hàng."
"Option values","Giá trị tùy chọn"
"Option:","Tùy chọn:"
"Options","Tùy chọn"
"Options Control","Kiểm sóat tùy chọn"
"Options is required","Tùy chọn được yêu cầu"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Dịch vụ khách hàng của chúng tôi luôn sẳn sàng 24/7. Gọi cho chúng tôi (555) 555-0123."
"Out of Stock","Hết hàng"
"Out of stock","Hết hàng"
"PM","PM"
"Page Title Separator","Tách tựa trang "
"Parent Category","Danh mục cha"
"Pending","Chờ"
"Pending Reviews RSS","Pending Reviews RSS"
"Percentage","Phần trăm"
"Please add rows to option.","Xin vui lòng thêm một dòng đến tùy chọn."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Xin vui lòng cẩn thận khi click trên dòng nó sẽ load gói dữ liệu từ file được chọn và tất cả dữ liệu chưa được lưu lại sẽ bị mất."
"Please click on the Close Window button if it is not closed automatically.","Xin vui lòng click nút đóng nếu nó không tự động đóng."
"Please enter a new group name","Xin vui lòng nhập tên nhóm mới"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Xin vui lòng refresh ""Catalog URL Rewrites"" và ""Thuộc tính sản phẩm"" trong hệ thống -> <a href=""%s"">Index Management</a>"
"Please select a static block ...","Xin vui lòng chọn một static block ..."
"Please select items.","Xin vui lòng chọn items."
"Please select one or more attributes.","Xin vui lòng chọn một hoặc nhiều thuộc tính."
"Please select product(s).","Xin vui lòng chọn sản phẩm."
"Please select products for attributes update","Xin vui lòng chọn thuộc tính cập nhật cho sản phẩm"
"Please specify date required option(s).","Xin vui lòng xác định tùy chọn được yêu cầu ngày tháng."
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Please specify the product required option(s)","Xin vui lòng xác định sản phẩm được yêu cầu tùy chọn"
"Please specify the product required option(s).","Xin vui lòng xác định sản phẩm được yêu cầu tùy chọn."
"Please specify the product\'s option(s).","Xin vui lòng xác định sản phẩm được yêu cầu tùy chọn."
"Please specify the product\'s required option(s).","Xin vui lòng xác định sản phẩm được yêu cầu tùy chọn."
"Please specify the quantity of product(s).","Xin vui lòng xác định số lượng sản phẩm."
"Please specify time required option(s).","Xin vui lòng xác định tùy chọn yêu cầu thời gian."
"Please wait...","Xin vui lòng chờ..."
"Position","Vị trí"
"Position in Layered Navigation","Vị trí trong Layered Navigation"
"Position of attribute in layered navigation block","Vị trí thuộc tính trong layered navigation block"
"Prev","quay lại"
"Previous","quay lại"
"Price","Giá"
"Price Navigation Step Calculation","Bướt tính tóan điều hướng giá"
"Price Type","Lọai giá"
"Price is not available","Chưa có giá"
"Price values for options should be specified in system base currency.","Tùy chọn giá nên được xác định trong hệ thống tiền tệ."
"Price:","Giá:"
"Price: %s","Giá: %s"
"Print This Page","in trang này"
"Product","Sản phẩm"
"Product API","Sản phẩm API"
"Product Alerts","Thông báo của sản phẩm"
"Product Attribute","Thuộc tính sản phẩm"
"Product Attributes","Thuộc tính sản phẩm"
"Product Categories","Danh mục sản phẩm"
"Product Description","Mô tả sản phẩm"
"Product Extra Info","Thông tin thêm về sản phẩm"
"Product Flat Data","Product Flat Data"
"Product ID","Product ID"
"Product Image Placeholders","Product Image Placeholders"
"Product Image Watermarks","Product Image Watermarks"
"Product Images","Hình ảnh sản phẩm"
"Product Images API","Hình ảnh API của sản phẩm"
"Product In Websites","Sản phẩm trong Websites"
"Product Info Column","Cột thông tin sản phẩm"
"Product Information","Thông tin sản phẩm"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product Listing Sort by","Product Listing Sort by"
"Product Name","Tên sản phẩm"
"Product Prices","Giá sản phẩm"
"Product Reviews","Xem lại sản phẩm"
"Product Tags","Product Tags"
"Product Tier Price API","Product Tier Price API"
"Product Type","Lọai sản phẩm"
"Product URL Suffix","Product URL Suffix"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","Tập thuộc tính API của sản phẩm"
"Product attributes API","Tập thuộc tính API của sản phẩm"
"Product collection expected.","Product collection expected."
"Product is not loaded","Sản phẩm không được tải"
