"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s Đã được thêm vào wishlist của bạn. Chọn <a href=""%2$s"">ở đây</a> để tiếp tục mua hàng."
"%1$s has been updated in your wishlist.","%1$s Đã được cập nhật vào wishlist của bạn."
"%d product(s) have been added to shopping cart: %s.","%d Sản phẩm đã được thêm vào giỏ hàng: %s."
"%s for ""%s"".","%s cho ""%s""."
"%s has been moved to wishlist %s","%s Đã được chuyển đến wishlist %s"
"%s's Wishlist","%s's Wishlist"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check vào checkbox này nếu bạn muốn thêm liên kết rss feed vào wishlist của bạn."
"Click for price","Chọn giá"
"Comment","Bình luận"
"Comment:","Bình luận:"
"Configure Wishlist Item","Cấu hình sản phẩm Wishlist"
"Configured Price:","Đã cấu hình giá:"
"Could not find wishlist","Không thể tìm wishlist"
"Customer My Account My Wishlist","Khách hàng tài khỏan của tôi Wishlish của tôi"
"Customer My Account Wishlist Sharing Form","Customer My Account Wishlist Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wishlist View"
"Date Added","Ngày được thêm vào"
"Days in Wishlist","Ngày trong Wishlist"
"Display Wishlist Summary","Hiển thị tóm tắt của Wishlist"
"Edit","Sửa"
"Email Sender","Ngởi email Email"
"Email Template","Email Template"
"Email address can\'t be empty.","Địa chỉ email không thể rỗng."
"Email addresses, separated by commas","Địa chỉ Email được cách nhau bởi dấu phẩy"
"Enabled","Enabled"
"General Options","Tùy chọn chung"
"Go to Wishlist","Đi đến Wishlist"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"In stock","Còn hàng"
"Last Added Items","Sản phẩm được thêm cuối cùng"
"Message","Message"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","My Wishlist (%d item)"
"My Wishlist (%d items)","My Wishlist (%d items)"
"My Wishlist <small>(%d)</small>","My Wishlist <small>(%d)</small>"
"My Wishlist Link","Liên kết My Wishlist"
"Options Details","Options Details"
"Out of stock","Hết hàng"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Xin vui lòng nhập một địa chỉ email hợp lệ, được cách nhau bởi dấu phẩy. Ví dụ: johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Xin vui lòng nhập một địa chỉ email hợp lệ."
"Please, enter your comments...","Xin vui lòng, nhập câu bình luận của bạn ..."
"Product","Sản phẩm"
"Product Details and Comment","Chi tiết sản phẩm và câu bình luận"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Sản phẩm %s có tùy chọn được yêu cầu. Mỗi sản phẩm chỉ có thể được thêm vào giỏ hàng một cách riêng ghẻ."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","Liên kết RSS tới %s's wishlist"
"Remove Item","Gỡ bỏ sản phẩm"
"Remove This Item","Gỡ bỏ sản phẩm này"
"Remove item","Gỡ bỏ sản phẩm"
"Requested cart item doesn't exist","Sản phẩm giỏ hàng được yêu cầu không tồn tại"
"Requested wishlist doesn't exist","Wishlist được yêu cầu không tồn tại"
"Share Options","Share Options"
"Share Wishlist","Share Wishlist"
"Share Your Wishlist","Share Your Wishlist"
"Sharing Information","Chia sẽ thông tin"
"This Wishlist has no Items","Wishlist này không có sản phẩm"
"This product(s) is currently out of stock","Sản phẩm này hiện tại đã hết hàng"
"Unable to add the following product(s) to shopping cart: %s.","Không thể thêm những sản phẩm sau vào giỏ hàng: %s."
"Update Wishlist","Cập nhật Wishlist"
"User description","Mô tả người dùng"
"View Details","Hiển thị chi tiết"
"View Product","Hiển thị sản phẩm"
"What's this?","What's this?"
"Wishlist","Wishlist"
"Wishlist Section","Mục Wishlist"
"Wishlist Sharing","Wishlist Sharing"
"Wishlist could not be created.","Wishlist Không thể được tạo ra."
"Wishlist is empty now.","Wishlist không thể rỗng."
"You have no items in your wishlist.","Bạn không có sản phẩm trong wishlist."
"Your Wishlist has been shared.","Wishlist của bạn đã được shared."
